DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/9/2025,1,SEALANT,120,120,,,,,
8/9/2025,1,TENSIONER,100,100,,,,,"Partial List Total 12,470"
8/9/2025,1,Silvestre AT Fully 800ml,260,260,,,,,Multiple Lists
8/9/2025,1,Yamalube  Blue Core 1L ,360,360,,,,,Nov 23 2025 Sunday
8/9/2025,1,Gear Oil (FULLY),95,95,,,,,AUGUST 1 2025 FRIDAY / Partial List
8/9/2025,1,PULLEY BALL HIRC,310,310,,,,,August 1 2025 Friday
8/9/2025,1,Clutch Spring,175,175,,,,,"Partial List Total 9,641"
8/9/2025,1,CENTER CLUTCH HIRC,335,335,,,,,August 9 2025 Saturday
8/9/2025,1,HANDLE SWITCH (1PH),150,150,,,,,August 3 2025 Sunday
8/9/2025,1,CARB XRM 125,750,750,,,,,Nov 23 2025 Sunday
8/9/2025,1,AX 7 12,360,360,,,,,Nov 26 2025 Wednesday
8/9/2025,2,VS 1 - 250ML,70,70,,,,,Partial List
8/9/2025,1,EXHAUST GASKET,30,30,,,,,Partial List (AX7 Close-Up)
8/9/2025,1,Center Stand,360,360,,,,,Partial List (AX7 Close-Up)
8/9/2025,3,CLIP (CLUCHN ORIG),225,225,,,,,August 2 2025 Saturday
8/9/2025,1,E-TAPE,30,30,,,,,Partial List (HIRC P-BALL)
8/9/2025,1,RUG,10,10,,,,,Partial List
8/9/2025,1,Flasher,100,100,,,,,Nov 23 2025 Sunday
8/9/2025,1,CARBU PL (MIO),360,360,,,,,"Partial List (Total 11,678)"
8/9/2025,1,SEALANT,120,120,,,,,Nov 26 2025 Wednesday
8/9/2025,1,2.50-17 TUBE,170,170,,,,,Nov 23 2025 Sunday
8/9/2025,1,CLIP,20,20,,,,,August 1 2025 Friday
8/9/2025,1,BURNER SLIDE,150,150,,,,,Nov 24 2025 Monday
8/9/2025,1,BRAKE CABLE W-100,120,120,,,,,August 9 2025 Saturday
8/9/2025,1,Electrical,30,30,,,,,Nov 23 2025 Sunday
8/9/2025,1,FUEL FILTER,70,70,,,,,Partial List
8/9/2025,1,CVT CLEANER,220,220,,,,,Nov 26 2025 Wednesday
8/9/2025,1,SPARK PLUG NGK,80,80,,,,,Nov 23 2025 Sunday
8/9/2025,1,80/80-17 TUBELESS,"1,000","1,000",,,,,August 3 2025 Sunday
8/9/2025,1,FORK OIL,80,80,,,,,August 3 2025 Sunday
8/9/2025,1,SHELL 800ML,315,315,,,,,Partial List
8/9/2025,1,RUBBER DUMPER,100,100,,,,,"Partial List Total 12,470"
8/9/2025,1,CASTROL ACTIVE 800ml,240,240,,,,,August 1 2025 Friday
8/9/2025,1,SEAT COVER,300,300,,,,,Partial List
8/9/2025,4,BOLT 6X35,20,80,,,,,Partial List (LH TRANDUCE)
8/9/2025,4,NUT,5,20,,,,,Partial List
8/9/2025,1,OIL FILTER,50,50,,,,,
8/9/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/9/2025,1,Gear Oil (FULLY),90,90,,,,,
8/9/2025,1,SHELL 800ML,315,315,,,,,
8/9/2025,1,SAMURAI PAINT,250,250,,,,,
8/9/2025,1,SPARK PLUG ,80,80,,,,,
8/10/2025,1,MDL V2 (Fog/Auxiliary Light),800,800,,,,,
8/10/2025,1,5A THAIWORKZ (Battery),785,785,,,,,
8/10/2025,2,FULLY 800ML (Synthetic Oil),250,500,,,,,
8/10/2025,1,BRAKE PAD ORIGINAL,350,350,,,,,
8/10/2025,1,BRAKE SHOE ORIGINAL YAMAHA,315,315,,,,,
8/10/2025,1,LED HEAD BULB,280,280,,,,,
8/10/2025,1,3 WAY SWITCH Switch,250,250,,,,,
8/10/2025,1,FULLY 1L (Synthetic Oil),250,250,,,,,
8/10/2025,1,SIDE MIRROR,250,250,,,,,
8/10/2025,1,AIR FILTER,220,220,,,,,
8/10/2025,1,MULTI 800ML (Oil),200,200,,,,,
8/10/2025,1,BALL RACE,200,200,,,,,
8/10/2025,1,Spark Plug NGK,85,85,,,,,
8/10/2025,1,Oil Filter (Standard),55,55,,,,,
8/10/2025,1,Brake Fluid DOT 3,70,70,,,,,
8/10/2025,1,Hand Grip Set,80,80,,,,,
